Flow Duration,Flow Bytes/s,Flow Packets/s,Total Fwd Packets,Fwd Packet Length Min,Fwd Packet Length Max,Fwd Packet Length Mean,Fwd Packet Length Std,Fwd Packet Length Variance,Fwd Header Length,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Total,Active Std,Idle Std,Fwd Push Flags Count,Fwd URG Flags Count,Label
31.7512350082,139.1756887206,1.5117522196,48,68,101,92.0625000000,14.6648761928,215.0585937500,0,0.6614840627,0.9293289776,31.7512350082,0.2716652848,1.7407664316,48,0,benign
35.0559251308,153.0982274742,1.7115508941,60,68,101,89.4500000000,15.7399968234,247.7475000000,0,0.5842654188,0.5528838619,35.0559251308,0.2539886626,0.4255667111,60,0,benign
28.0460481644,235.8264508867,2.6028622490,73,68,101,90.6027397260,15.3299239345,235.0065678364,0,0.3841924406,0.4124268981,28.0460481644,0.2672220794,0.3012481230,73,0,benign
34.6028051376,82.8545543807,0.8958811251,31,68,101,92.4838709677,14.4397993189,208.5078043704,0,1.1162195206,1.2574100473,34.6028051376,0.2949300213,1.4690835039,31,0,benign
34.2512760162,73.8366652034,0.7882917993,27,68,101,93.6666666667,13.7194104182,188.2222222222,0,1.2685657784,1.6491456482,34.2512760162,0.2617846860,1.9783679331,27,0,benign
32.1295499802,72.4877877666,0.8092239081,26,68,101,89.5769230769,15.6995175745,246.4748520710,0,1.2357519223,2.0071961566,32.1295499802,0.2268009526,2.8262089345,26,0,benign
10.8863260746,223.3995181969,2.5720339266,28,68,101,86.8571428571,16.3307647571,266.6938775510,0,0.3887973598,0.4069324192,10.8863260746,0.1877071231,0.4096346952,28,0,benign
28.6771059036,212.8875912554,2.3014874730,66,68,101,92.5000000000,14.4308696897,208.2500000000,0,0.4345016046,0.5567638289,28.6771059036,0.2394676380,0.7701456540,66,0,benign
34.2882311344,168.3084781299,1.8665296483,64,68,101,90.1718750000,15.4945098014,240.0798339844,0,0.5357536115,0.5192469400,34.2882311344,0.2675245069,0.4662078239,64,0,benign
27.8635711670,319.5570283018,3.4453587957,96,68,101,92.7500000000,14.2894191624,204.1875000000,0,0.2902455330,0.3368038554,27.8635711670,0.2378963291,0.6902164221,96,0,benign
27.5486099720,230.2838512160,2.5409630494,70,68,101,90.6285714286,15.3196152773,234.6906122449,0,0.3935515710,0.4418842164,27.5486099720,0.2610901656,0.4220075941,70,0,benign
34.4098649025,102.0637543900,1.1624573393,40,68,101,87.8000000000,16.1666323024,261.3600000000,0,0.8602466226,1.5522609587,34.4098649025,0.2370310801,2.6266820387,40,0,benign
34.9333081245,88.7977740024,0.9446571702,33,68,101,94.0000000000,13.4907375632,182.0000000000,0,1.0585850947,1.3461873239,34.9333081245,0.2703918760,1.7192051590,33,0,benign
28.5671551228,134.6301367243,1.4702199018,42,68,101,91.5714285714,14.9078803979,222.2448979592,0,0.6801703601,1.2784074014,28.5671551228,0.2386811139,2.2430706113,42,0,benign
35.1361560822,198.8549909576,2.2199354937,78,68,101,89.5769230769,15.6995175745,246.4748520710,0,0.4504635395,0.7951949024,35.1361560822,0.2414509432,1.6239437676,78,0,benign
