Precision,Recall,Thresholds
0.9383338274533056,1.0,0.7734059161550818
0.9681803115677826,0.9229067930489732,0.798072600274543
0.9643520237653175,0.8205371248025276,0.8042716271210071
0.951783023606228,0.5987361769352291,0.8201238142580608
0.9420289855072463,0.4928909952606635,0.8258561558772666
0.9351351351351351,0.4372827804107425,0.8404390958434248
1.0,0.334913112164297,0.8771934894068606
1.0,0.12322274881516587,0.8861686266847241
1.0,0.1061611374407583,0.8989535909757868
1.0,0.07709320695102685,0.9032678823797166
1.0,0.020537124802527645,0.9217295728538846
1.0,0.0,
