Precision,Recall,Thresholds
0.9353131431931785,1.0,0.7734059161550818
0.9650741350906096,0.9207796290474694,0.798072600274543
0.9617742517129463,0.8384155925809493,0.8042716271210071
0.9479882237487733,0.607356177302735,0.8201238142580608
0.9388343912290825,0.511474379126061,0.8258561558772666
0.9315245478036176,0.4533165671172587,0.8404390958434248
1.0,0.3473750392958189,0.8771934894068606
1.0,0.12386042125117887,0.8861686266847241
1.0,0.10971392643822697,0.8989535909757868
1.0,0.07607670543854134,0.9032678823797166
1.0,0.015403961018547626,0.9217295728538846
1.0,0.0,

