Index,Rolling Accuracy,Rolling Precision,Rolling Recall,Rolling F1-Score
3488,0.5,1.0,0.9981024667931688,0.9990503323836657
3489,0.5,1.0,0.9981024667931688,0.9990503323836657
3490,0.5,1.0,0.9981036662452591,0.9990509332489719
3491,0.5,1.0,0.9981036662452591,0.9990509332489719
3492,0.5,1.0,0.998104864181933,0.9990515333544103
3493,0.5,1.0,0.998104864181933,0.9990515333544103
3494,0.5,1.0,0.9981060606060606,0.9990521327014218
3495,0.5,1.0,0.9981060606060606,0.9990521327014218
3496,0.5,1.0,0.9981072555205047,0.999052731291443
3497,0.5,1.0,0.9981072555205047,0.999052731291443
3498,0.5,1.0,0.998108448928121,0.9990533291259073
3499,0.5,1.0,0.998108448928121,0.9990533291259073
3500,0.5,1.0,0.998109640831758,0.9990539262062441
3501,0.5,1.0,0.998109640831758,0.9990539262062441
3502,0.5,1.0,0.9981108312342569,0.9990545225338796
3503,0.5,1.0,0.9981108312342569,0.9990545225338796
3504,0.5,1.0,0.9981120201384519,0.9990551181102362
3505,0.5,1.0,0.9981120201384519,0.9990551181102362
3506,0.5,1.0,0.9981132075471698,0.9990557129367328
3507,0.5,1.0,0.9981132075471698,0.9990557129367328
3508,0.5,1.0,0.9981143934632307,0.9990563070147845
3509,0.5,1.0,0.9981143934632307,0.9990563070147845
3510,0.5,1.0,0.9981155778894473,0.9990569003458032
3511,0.5,1.0,0.9981155778894473,0.9990569003458032
3512,0.5,1.0,0.9981167608286252,0.9990574929311969
3513,0.5,1.0,0.9981167608286252,0.9990574929311969
3514,0.5,1.0,0.9981179422835633,0.9990580847723705
3515,0.5,1.0,0.9981179422835633,0.9990580847723705
3516,0.5,1.0,0.9981191222570532,0.9990586758707248
3517,0.5,1.0,0.9981191222570532,0.9990586758707248
3518,0.5,1.0,0.9981203007518797,0.9990592662276576
3519,0.5,1.0,0.9981203007518797,0.9990592662276576
3520,0.5,1.0,0.9981214777708203,0.9990598558445628
3521,0.5,1.0,0.9981214777708203,0.9990598558445628
3522,0.5,1.0,0.9981226533166458,0.9990604447228312
3523,0.5,1.0,0.9981226533166458,0.9990604447228312
3524,0.5,1.0,0.99812382739212,0.9990610328638497
3525,0.5,1.0,0.99812382739212,0.9990610328638497
3526,0.5,1.0,0.998125,0.9990616202690021
3527,0.5,1.0,0.998125,0.9990616202690021
