Flow Duration,Flow Bytes/s,Flow Packets/s,Total Length of Fwd Packets,Total Backward Packets,Subflow Fwd Bytes,Fwd Packet Length Min,Fwd Packet Length Max,Fwd Packet Length Mean,Packet Length Std,Packet Length Variance,Bwd IAT Max,Bwd IAT Std,Bwd IAT Total,Active Max,Active Mean,Idle Max,Idle Mean,act_data_pkt_fwd,Label
0.0000000001,540000000000.0000000000,10000000000.0000000000,54,0,54,54,54,54.0000000000,0.0000000000,0.0000000000,0,0,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,attack
70.3996539116,2.3011476761,0.0426138459,162,0,162,54,54,54.0000000000,0.0000000000,0.0000000000,0,0,0,0.0000000000,0.0000000000,46.5174818039,35.1998269558,0,attack
0.0000000001,540000000000.0000000000,10000000000.0000000000,54,0,54,54,54,54.0000000000,0.0000000000,0.0000000000,0,0,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,attack
74.0065798759,1.4593296999,0.0270246241,108,0,108,54,54,54.0000000000,0.0000000000,0.0000000000,0,0,0,0.0000000000,0.0000000000,74.0065798759,74.0065798759,0,attack
44.2673320770,2.4397223626,0.0451800438,108,0,108,54,54,54.0000000000,0.0000000000,0.0000000000,0,0,0,0.0000000000,0.0000000000,44.2673320770,44.2673320770,0,attack
0.0000000001,540000000000.0000000000,10000000000.0000000000,54,0,54,54,54,54.0000000000,0.0000000000,0.0000000000,0,0,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,attack
72.0213828087,2.2493319856,0.0416542960,162,0,162,54,54,54.0000000000,0.0000000000,0.0000000000,0,0,0,0.0000000000,0.0000000000,68.7794308662,36.0106914043,0,attack
0.0000000001,540000000000.0000000000,10000000000.0000000000,54,0,54,54,54,54.0000000000,0.0000000000,0.0000000000,0,0,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,attack
0.0000000001,540000000000.0000000000,10000000000.0000000000,54,0,54,54,54,54.0000000000,0.0000000000,0.0000000000,0,0,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0,attack
40.9699761868,2.6360767091,0.0488162354,108,0,108,54,54,54.0000000000,0.0000000000,0.0000000000,0,0,0,0.0000000000,0.0000000000,40.9699761868,40.9699761868,0,attack
