FPR,TPR,Thresholds
0.0,0.0,inf
0.0,0.020537124802527645,0.9217295728538846
0.0,0.07709320695102685,0.9032678823797166
0.0,0.1061611374407583,0.8989535909757868
0.0,0.12322274881516587,0.8861686266847241
0.0,0.334913112164297,0.8771934894068606
0.46153846153846156,0.4372827804107425,0.8404390958434248
0.46153846153846156,0.4928909952606635,0.8258561558772666
0.46153846153846156,0.5987361769352291,0.8201238142580608
0.46153846153846156,0.8205371248025276,0.8042716271210071
0.46153846153846156,0.9229067930489732,0.798072600274543
1.0,1.0,0.7734059161550818
