Index,Rolling Accuracy,Rolling Precision,Rolling Recall,Rolling F1-Score
1369,0.61,0.9629629629629629,1.0,0.9811320754716981
1370,0.61,0.9629629629629629,1.0,0.9811320754716981
1371,0.61,0.963013698630137,1.0,0.9811584089323099
1372,0.61,0.963013698630137,1.0,0.9811584089323099
1373,0.61,0.9630642954856361,1.0,0.981184668989547
1374,0.61,0.9630642954856361,1.0,0.981184668989547
1375,0.61,0.9631147540983607,1.0,0.9812108559498957
1376,0.62,0.9631650750341064,1.0,0.9812369701181376
1377,0.61,0.9631650750341064,1.0,0.9812369701181376
1378,0.62,0.9632152588555858,1.0,0.981263011797363
1379,0.62,0.963265306122449,1.0,0.9812889812889813
1380,0.62,0.963265306122449,1.0,0.9812889812889813
1381,0.62,0.9633152173913043,1.0,0.9813148788927336
1382,0.61,0.9633152173913043,1.0,0.9813148788927336
1383,0.61,0.9633649932157394,1.0,0.9813407049067036
1384,0.62,0.9634146341463414,1.0,0.9813664596273292
1385,0.61,0.9634146341463414,1.0,0.9813664596273292
1386,0.61,0.9634641407307172,1.0,0.9813921433494142
1387,0.6,0.9634641407307172,1.0,0.9813921433494142
1388,0.61,0.9635135135135136,1.0,0.981417756366139
1389,0.6,0.9635135135135136,1.0,0.981417756366139
1390,0.61,0.9635627530364372,1.0,0.9814432989690721
1391,0.61,0.9636118598382749,1.0,0.9814687714481812
1392,0.61,0.9636118598382749,1.0,0.9814687714481812
1393,0.61,0.9636608344549125,1.0,0.9814941740918437
1394,0.62,0.9637096774193549,1.0,0.9815195071868583
1395,0.62,0.963758389261745,1.0,0.9815447710184553
1396,0.62,0.963758389261745,1.0,0.9815447710184553
1397,0.62,0.9638069705093834,1.0,0.9815699658703072
1398,0.63,0.963855421686747,1.0,0.9815950920245399
1399,0.63,0.963903743315508,1.0,0.9816201497617427
1400,0.62,0.963903743315508,1.0,0.9816201497617427
1401,0.63,0.9639519359145527,1.0,0.981645139360979
1402,0.63,0.964,1.0,0.9816700610997964
1403,0.63,0.964,1.0,0.9816700610997964
1404,0.63,0.9640479360852197,1.0,0.9816949152542372
1405,0.63,0.9640479360852197,1.0,0.9816949152542372
1406,0.63,0.964095744680851,1.0,0.9817197020988491
1407,0.62,0.964095744680851,1.0,0.9817197020988491
1408,0.63,0.9641434262948207,1.0,0.9817444219066938
